Price,Close,High,Low,Open,Volume
Ticker,TSCO,TSCO,TSCO,TSCO,TSCO
Date,,,,,
2021-04-12,32.7877311706543,32.85583309174864,32.07727566874865,32.32943427426257,4970500
2021-04-13,32.93497085571289,33.06196991372909,32.574222757478026,32.896319273759154,4945000
2021-04-14,32.73619842529297,33.2202665974561,32.67362216652638,32.787733879918136,4347500
2021-04-15,32.56686019897461,32.92024658336964,32.506119994303546,32.80060923306418,4527500
2021-04-16,33.328861236572266,33.64543919614018,32.633129055717404,32.75460599172096,15987500
2021-04-19,33.69697189331055,33.95648870635081,33.152163519633284,33.93440358824524,6556500
2021-04-20,33.32334518432617,34.214178551960586,32.953392150908044,33.787167893405865,5943000
2021-04-21,33.159523010253906,33.63990847434382,33.00307361931151,33.34173661257578,7204500
2021-04-22,34.62277603149414,35.25408536566347,33.952811594847255,34.219690129534946,12499500
2021-04-23,34.856529235839844,35.02401948707465,34.12398845268823,34.42215690790469,4969000
2021-04-26,35.14549255371094,35.25040652573865,34.42215310695,34.851003229383785,4724000
2021-04-27,35.06266784667969,35.49336103648382,34.753455103714444,35.27985399059758,4858000
2021-04-28,34.71296310424805,35.38292754137773,34.62461560541496,35.08659515943384,3479500
2021-04-29,35.06266784667969,35.138131483405175,34.493934758304526,34.935672263383054,3303500
2021-04-30,34.71296310424805,35.154697087823855,34.32644367450069,34.76633810910612,4416000
2021-05-03,35.49335861206055,35.61483554001206,34.80498818347215,35.14917339776635,4085500
2021-05-04,35.776798248291016,35.81728938134677,34.775532639462355,35.07554406132913,6459500
2021-05-05,35.81914520263672,35.99399716922746,35.34243864742713,35.74920371388238,4590500
2021-05-06,35.870670318603516,36.0933785866883,35.59826614984236,35.8909158865041,4388000
2021-05-07,35.97557830810547,36.097055217798115,35.67924949421198,36.00134603105273,3191000
2021-05-10,36.0197639465332,36.94924884944144,35.97375064187015,36.25167352965988,4273500
2021-05-11,35.20255661010742,35.90565061496915,34.69640321069781,35.82282525793191,6270500
2021-05-12,33.57365036010742,35.05898419015501,33.448494342099835,34.8160303492464,6335000
2021-05-13,34.33380889892578,34.4092725415192,33.62703585702207,33.62703585702207,5480000
2021-05-14,34.5804443359375,34.66879184110644,34.041161559412366,34.33749045201787,3644000
2021-05-17,34.30619812011719,34.80315016834372,34.13686833943253,34.68719539254212,3283000
2021-05-18,34.042999267578125,34.530746558143875,33.73010391820262,34.530746558143875,3897500
2021-05-19,33.2294807434082,33.6325632389771,32.49877589599448,33.61231415272446,7260000
2021-05-20,33.847896575927734,33.9417662292885,33.1705704537796,33.290207834268074,4890500
2021-05-21,33.84052276611328,34.18568406087941,33.75007995933107,33.777765526965766,7724000
2021-05-24,33.55257034301758,34.10815093053532,33.523040018971095,34.1007683495237,3956000
2021-05-25,33.2978630065918,33.81467900004419,33.23879530401589,33.56180882046854,4659500
2021-05-26,33.78144454956055,33.84420176264516,33.157572510207274,33.2849317013073,4582000
2021-05-27,33.73530578613281,34.19305751547093,33.65409035006303,33.9291117489245,5534000
2021-05-28,33.537803649902344,34.146910562355025,33.41228921680254,34.02693394489715,4046000
2021-06-01,33.56734085083008,33.75560899876798,33.14096420919147,33.69654482691926,4472500
2021-06-02,33.43629837036133,33.56365761849072,32.89917580930966,33.56365761849072,6365500
2021-06-03,32.84749221801758,33.31631969172494,32.43034634674039,33.31078539478896,6921500
2021-06-04,33.4196891784668,33.463984680885375,32.740442187079466,33.004388038520254,3752000
2021-06-07,33.445518493652344,33.6817751742482,33.140963255454416,33.432598096415255,3569500
2021-06-08,33.487972259521484,33.59318373268954,33.31816231484061,33.54519166970721,4772000
2021-06-09,33.415985107421875,33.7740667046521,33.29416371457779,33.64855226088488,3490000
2021-06-10,33.194488525390625,33.679929309052696,33.17049601740837,33.51380891556031,3750500
2021-06-11,33.99740982055664,34.02140233198733,33.20003111307733,33.29601172043389,3254500
2021-06-14,33.80544662475586,34.00479040980747,33.48612620740335,33.93465060390557,4483500
2021-06-15,33.164955139160156,33.7537590429739,32.62045023755684,33.7316077815968,3700000
2021-06-16,32.871482849121094,33.33846548040558,32.65368084024744,33.33846548040558,3936000
2021-06-17,32.26606369018555,32.971151197204634,31.835994037715224,32.8899357681539,7421000
2021-06-18,31.614503860473633,32.22361080255438,31.529598897770043,32.16823616398554,10922000
2021-06-21,32.36943817138672,32.605698439821104,31.701263334524786,31.882152467911176,5405500
2021-06-22,33.30339431762695,33.380916709695114,32.454337535616865,32.531859927685026,4613500
2021-06-23,33.1280403137207,33.30523633110174,32.93792390009496,33.139115944943,3100000
2021-06-24,33.40122985839844,33.513820417624,33.21480642315029,33.46583186464555,3107500
2021-06-25,33.27754592895508,33.574718551302894,33.153879787039784,33.427056382875385,3900500
2021-06-28,33.86081314086914,33.90511214491513,33.14649830164744,33.3735276169072,3856500
2021-06-29,34.52161407470703,34.75602957559583,33.870056216390694,33.870056216390694,5245500
2021-06-30,34.34257125854492,34.70064937221534,34.27058316219023,34.477313062720555,3252000
2021-07-01,34.672969818115234,34.942453473167646,34.60652304747458,34.90369227020306,3223500
2021-07-02,34.658203125,34.77264196315392,34.416405048273,34.64158967279892,2353500
2021-07-06,34.40531539916992,34.78185514411302,33.962328913578375,34.67849198286268,4136500
2021-07-07,34.63050079345703,34.844613221839346,34.3056461416015,34.40531625505363,4205000
2021-07-08,34.36287307739258,34.50868698946208,33.8257506442326,34.30565366764644,4578500
2021-07-09,34.49945831298828,34.87414984960464,34.342568773969475,34.64527573998361,4206000
2021-07-12,34.4754524230957,34.5917359701694,34.04723113189649,34.43484647601886,4698500
2021-07-13,34.4588508605957,34.78186079195298,34.270579197280995,34.466233441806125,4147000
2021-07-14,34.55668640136719,34.748647651557796,34.34257740102162,34.626826224342416,5028000
2021-07-15,34.87968063354492,35.57738549539528,34.42377375092369,34.516064802807605,7811000
2021-07-16,34.88522720336914,35.38174368164055,34.81324262921528,34.918450582167495,5935000
2021-07-19,33.397525787353516,33.70577054990184,31.56466713930673,33.15018995893704,16459000
2021-07-20,33.8958854675293,34.04539240879187,32.854864132742264,33.58579243309436,7770500
2021-07-21,33.43629837036133,33.8977432888381,33.18527292616158,33.68917210086326,5146000
2021-07-22,33.67070388793945,33.90511580911631,33.44736407856275,33.4602844761165,3639500
2021-07-23,34.6452751159668,34.67480544155666,33.72792336712603,33.77406714126842,2989000
2021-07-26,34.713565826416016,34.87045887950193,34.35733251860484,34.6231230454494,3879000
2021-07-27,34.02878189086914,34.69879772760841,33.68915853941997,34.4736131768331,4598500
2021-07-28,33.86819839477539,34.20782173693625,33.7537595972313,34.093382939392164,2943500
2021-07-29,33.404903411865234,33.9032645250091,33.28308204113298,33.87742373487025,6152500
2021-07-30,33.39568328857422,33.796215622338096,33.08374545405591,33.26094149363579,6390000
2021-08-02,33.373531341552734,33.69469651632178,33.26647863032593,33.53226916372143,5293000
2021-08-03,34.44224166870117,34.852004901142315,33.535965463195964,33.707620179047275,5397000
2021-08-04,34.22628402709961,34.361025830794325,33.97525863507796,34.213363628396614,3966500
2021-08-05,34.713565826416016,34.774478282480025,34.272427553693525,34.340719070438965,3879500
2021-08-06,34.5659065246582,34.990438425728755,34.346259752553486,34.77448118427263,2676000
2021-08-09,34.623130798339844,34.76156566908818,34.37210537773641,34.50130937947751,2846000
2021-08-10,35.1934700012207,35.32821179464032,34.55852222727577,34.6083590529139,2911000
2021-08-11,35.848724365234375,36.00192085245588,35.169477580182246,35.186087508407255,3922000
2021-08-12,35.72137451171875,36.07760792580048,35.57740181296425,35.828427252242705,2690000
2021-08-13,35.79335403442383,35.97239485925519,35.625388843439396,35.89671722887579,2024500
2021-08-16,36.31939697265625,36.336010421641575,35.53309394436087,35.61430938293737,2411000
2021-08-17,35.24331283569336,35.90041198664088,35.04027596805849,35.88564330062812,2446000
2021-08-18,35.62538528442383,36.127436041762124,35.3023718134861,35.3023718134861,2732500
2021-08-19,35.98160934448242,36.18280136508602,35.263601536369045,35.30236272043228,2790500
2021-08-20,36.66453170776367,36.85885601675899,35.91314084968825,36.092660505605885,2915500
2021-08-23,36.09081268310547,36.829248697869694,36.05009811606248,36.75522189143146,4713000
2021-08-24,35.8169059753418,36.32770184078703,35.72807099092686,36.17409208231129,3283000
2021-08-25,35.939056396484375,36.040846344774984,35.62628422391225,35.84096584706353,3422000
2021-08-26,35.11363220214844,36.00382822182193,34.89154826952119,36.00382822182193,4168500
2021-08-27,35.60778045654297,35.62628804275792,34.81752452796636,35.09883419049579,2950000
2021-08-30,35.835411071777344,36.170390174383535,35.672545768328895,35.7632304457226,2380000
2021-08-31,35.95016098022461,36.30735067734715,35.539301755539,35.93165692448365,4383000
2021-09-01,36.19445037841797,36.31289820427722,35.26354330512642,35.91129106388584,3115500
