side,ticker,pattern,fwd_days,n,mean_ret,median,win_rate
sell,AAPL,E_Q_FVG1,20,0,,,
sell,AAPL,E_FVG1_Fx,20,0,,,
sell,AAPL,FVG1_R,20,0,,,
buy,AAPL,baseline,30,29,8.423029303783794,7.31090641351742,79.3103448275862
buy,AAPL,E,30,5,7.53427491154045,2.9684986596102836,80.0
buy,AAPL,E_R,30,2,10.154064512525077,10.154064512525077,100.0
buy,AAPL,FVG1,30,5,13.873893564327227,17.361674842318443,100.0
buy,AAPL,E_FVG1,30,1,2.5547050527084694,2.5547050527084694,100.0
buy,AAPL,E_FVG5,30,0,,,
buy,AAPL,E_Fext,30,1,-2.6961838331999273,-2.6961838331999273,0.0
buy,AAPL,E_OB,30,2,-0.07073939024572895,-0.07073939024572895,50.0
buy,AAPL,E_R_FVG1,30,1,2.5547050527084694,2.5547050527084694,100.0
buy,AAPL,E_R_FVG5,30,0,,,
buy,AAPL,E_Q_FVG1,30,0,,,
buy,AAPL,E_FVG1_Fx,30,0,,,
buy,AAPL,FVG1_R,30,1,2.5547050527084694,2.5547050527084694,100.0
sell,AAPL,baseline,30,31,3.550766449718485,3.6580709752966394,67.74193548387096
sell,AAPL,E,30,4,4.773056778463087,8.354606295945786,75.0
sell,AAPL,E_R,30,2,1.1703276461660743,1.1703276461660743,50.0
sell,AAPL,FVG1,30,1,2.7791916722998713,2.7791916722998713,100.0
sell,AAPL,E_FVG1,30,0,,,
sell,AAPL,E_FVG5,30,0,,,
sell,AAPL,E_Fext,30,0,,,
sell,AAPL,E_OB,30,2,8.3757859107601,8.3757859107601,100.0
sell,AAPL,E_R_FVG1,30,0,,,
sell,AAPL,E_R_FVG5,30,0,,,
sell,AAPL,E_Q_FVG1,30,0,,,
sell,AAPL,E_FVG1_Fx,30,0,,,
sell,AAPL,FVG1_R,30,0,,,
buy,AAPL,baseline,60,29,12.266265204545924,14.664655812589272,79.3103448275862
buy,AAPL,E,60,5,17.635631956844595,10.11695968826637,100.0
buy,AAPL,E_R,60,2,21.328512650587314,21.328512650587314,100.0
buy,AAPL,FVG1,60,5,20.67964886171665,21.92628660855523,100.0
buy,AAPL,E_FVG1,60,1,3.753724827374716,3.753724827374716,100.0
buy,AAPL,E_FVG5,60,0,,,
buy,AAPL,E_Fext,60,1,2.429042265601809,2.429042265601809,100.0
buy,AAPL,E_OB,60,2,3.091383546488262,3.091383546488262,100.0
buy,AAPL,E_R_FVG1,60,1,3.753724827374716,3.753724827374716,100.0
buy,AAPL,E_R_FVG5,60,0,,,
buy,AAPL,E_Q_FVG1,60,0,,,
buy,AAPL,E_FVG1_Fx,60,0,,,
buy,AAPL,FVG1_R,60,1,3.753724827374716,3.753724827374716,100.0
sell,AAPL,baseline,60,31,-0.45213902339082135,0.8311234196869377,54.83870967741935
sell,AAPL,E,60,4,-1.53144085395948,5.8180526921520075,75.0
sell,AAPL,E_R,60,2,-8.880934400070968,-8.880934400070968,50.0
sell,AAPL,FVG1,60,1,2.135392182035337,2.135392182035337,100.0
sell,AAPL,E_FVG1,60,0,,,
sell,AAPL,E_FVG5,60,0,,,
sell,AAPL,E_Fext,60,0,,,
sell,AAPL,E_OB,60,2,5.8180526921520075,5.8180526921520075,100.0
sell,AAPL,E_R_FVG1,60,0,,,
sell,AAPL,E_R_FVG5,60,0,,,
sell,AAPL,E_Q_FVG1,60,0,,,
