ticker,pattern,fwd_days,n,mean_ret,median,win_rate
A,A,1,37,1.9295207464738422,1.5310369672114812,100.0
A,B,1,9,1.3153878882246448,0.6745510223919136,100.0
A,C,1,28,2.126920593768228,1.7663961323521327,100.0
A,D,1,16,-0.2625521231896316,-0.1177854170103084,43.75
A,E,1,5,2.258010447931286,1.38164317895031,100.0
A,F,1,0,,,
A,A,5,37,5.180532152936217,5.377361761541462,100.0
A,B,5,9,4.481672532110761,2.1201317412566048,100.0
A,C,5,28,5.405165602487257,5.69243510242496,100.0
A,D,5,16,-0.23246344449308676,-0.5313299349692076,43.75
A,E,5,5,7.60745409622398,7.948904107302165,100.0
A,F,5,0,,,
A,A,10,37,5.174784278248657,4.501347718232946,100.0
A,B,10,9,5.309434682834991,3.76807392311644,100.0
A,C,10,28,5.131503791060192,5.089000605595765,100.0
A,D,10,16,-0.30993353950954994,0.7723549374446782,56.25
A,E,10,5,6.484699179698427,4.16999515566473,100.0
A,F,10,0,,,
A,A,20,37,5.97127924797252,5.792433041286554,81.08108108108108
A,B,20,9,5.732348779321009,4.7738297846847715,77.77777777777779
A,C,20,28,6.048078327181933,5.822433082118114,82.14285714285714
A,D,20,16,-0.12238907266439658,-0.760664378278741,43.75
A,E,20,5,7.3545807070802836,8.642966324315129,60.0
A,F,20,0,,,
AAPL,A,1,33,2.1500765664171086,1.2498372201996237,100.0
AAPL,B,1,9,1.3000345017001298,1.4286365271970856,100.0
AAPL,C,1,24,2.468842340685976,1.2015800441543663,100.0
AAPL,D,1,19,0.10083960539888707,0.1498933555291236,52.63157894736842
AAPL,E,1,5,2.087683679369678,0.6318550430994125,100.0
AAPL,F,1,0,,,
AAPL,A,5,33,5.3767976532345045,4.68989638025837,100.0
AAPL,B,5,9,4.880951781293269,4.732396363421094,100.0
AAPL,C,5,24,5.562739855212466,4.685669732113084,100.0
AAPL,D,5,19,0.03954393969849786,0.4489497704546763,57.89473684210527
AAPL,E,5,5,7.4389476360391,8.335515316821269,100.0
AAPL,F,5,0,,,
AAPL,A,10,33,7.498731072393343,6.819920146568926,100.0
AAPL,B,10,9,6.219966102896631,6.045880229100602,100.0
AAPL,C,10,24,7.978267935954611,7.362953475335825,100.0
AAPL,D,10,19,0.5160747189696878,0.05103142471285448,52.63157894736842
AAPL,E,10,5,8.74491095010872,8.23972638090801,100.0
AAPL,F,10,0,,,
AAPL,A,20,33,7.4569246263432705,7.254706775997957,90.9090909090909
AAPL,B,20,9,7.829583831807598,7.3502305679650215,100.0
AAPL,C,20,24,7.3171774242941465,7.156170379393673,87.5
AAPL,D,20,19,2.0473332372175306,0.17167827843945122,52.63157894736842
AAPL,E,20,5,7.2484313681534704,3.667910428393142,100.0
AAPL,F,20,0,,,
ABBV,A,1,34,1.3058390386214895,1.087946945478108,100.0
ABBV,B,1,9,0.9797694790362114,0.5465076527085375,100.0
ABBV,C,1,25,1.4232240800721891,1.1903270305019273,100.0
ABBV,D,1,18,0.6477072489537528,1.0400533072480682,72.22222222222221
ABBV,E,1,3,1.8328685445467887,1.6883545714462458,100.0
ABBV,F,1,0,,,
ABBV,A,5,34,3.761964481645634,3.4836427018896314,100.0
ABBV,B,5,9,3.037396960808705,3.704832674071746,100.0
ABBV,C,5,25,4.022808789146929,3.3901798407853394,100.0
ABBV,D,5,18,0.5820853150968246,0.1837978263469417,55.55555555555556
ABBV,E,5,3,4.826614261296602,4.46027562610464,100.0
ABBV,F,5,0,,,
ABBV,A,10,34,5.6752621061534345,5.405225373504493,100.0
ABBV,B,10,9,4.277936139687063,5.002326372037426,100.0
ABBV,C,10,25,6.178299454081329,5.428896813897148,100.0
ABBV,D,10,18,0.262244292207424,1.3595100688797386,72.22222222222221
ABBV,E,10,3,6.110990016217694,5.874069923053844,100.0
ABBV,F,10,0,,,
ABBV,A,20,34,5.0760444620398975,5.077147124843618,76.47058823529412
ABBV,B,20,9,3.9269396976501887,1.3429361665801633,55.55555555555556
ABBV,C,20,25,5.4897221772201945,6.1430700885356275,84.0
ABBV,D,20,18,1.0084389357850416,0.6837785876473277,55.55555555555556
ABBV,E,20,3,1.7988780459702627,1.894751597932622,66.66666666666666
ABBV,F,20,0,,,
ABNB,A,1,39,2.908488377129312,2.48387244439893,100.0
ABNB,B,1,8,2.3658325473384,1.8375732490171275,100.0
ABNB,C,1,31,3.048528591268903,2.5067934982497118,100.0
ABNB,D,1,18,0.2868166760018302,0.30943327173231344,55.55555555555556
ABNB,E,1,0,,,
ABNB,F,1,0,,,
ABNB,A,5,39,6.42236267372495,6.002072462379912,100.0
ABNB,B,5,8,6.05756073318759,3.941500593516311,100.0
ABNB,C,5,31,6.516505109992656,6.10005202512448,100.0
ABNB,D,5,18,1.2881706770765708,1.007151066024342,72.22222222222221
ABNB,E,5,0,,,
ABNB,F,5,0,,,
ABNB,A,10,39,9.28748250669806,7.9113308783628735,100.0
ABNB,B,10,8,9.682595943043241,9.131338210255418,100.0
ABNB,C,10,31,9.185517748931563,6.673219572999846,100.0
ABNB,D,10,18,-0.4519829439810693,-1.0574436418409223,33.33333333333333
ABNB,E,10,0,,,
ABNB,F,10,0,,,
ABNB,A,20,39,9.694426312234835,9.215699172504573,87.17948717948718
ABNB,B,20,8,8.693618818462692,7.047376661306,100.0
ABNB,C,20,31,9.952699213853457,9.758752102291265,83.87096774193549
ABNB,D,20,18,-0.5169220438143582,-0.19649586137495956,44.44444444444444
ABNB,E,20,0,,,
ABNB,F,20,0,,,
ABT,A,1,37,1.4556897388079368,1.0492334496007922,100.0
ABT,B,1,8,1.8691467582370482,1.434265736387744,100.0
ABT,C,1,29,1.3416326299999057,1.0492334496007922,100.0
ABT,D,1,20,0.12979374751405698,0.22707859174207362,65.0
ABT,E,1,7,2.2722804171793647,2.5292549762335566,100.0
ABT,F,1,0,,,
ABT,A,5,37,3.9577107382105665,3.492551578735282,100.0
ABT,B,5,8,3.404653353002969,3.386554134879748,100.0
ABT,C,5,29,4.110278292750594,3.976761201652665,100.0
ABT,D,5,20,-0.3463564871161268,-0.7310259812811961,40.0
ABT,E,5,7,6.15613124400033,5.864919588209001,100.0
ABT,F,5,0,,,
ABT,A,10,37,4.743321767914195,4.3238047522853655,100.0
ABT,B,10,8,3.5655524499986284,2.934608789577008,100.0
ABT,C,10,29,5.068223648718488,4.398837469467272,100.0
ABT,D,10,20,-0.5683565819013721,-0.9652281513092025,45.0
ABT,E,10,7,7.130493592438427,7.822875022037336,100.0
ABT,F,10,0,,,
ABT,A,20,37,5.513872828652897,5.315640197420307,86.48648648648648
ABT,B,20,8,4.095796062225216,5.450183063591067,87.5
ABT,C,20,29,5.9050664193915665,5.315640197420307,86.20689655172413
ABT,D,20,20,-0.10141906441015713,-0.7782355171948362,45.0
ABT,E,20,7,7.554495342744912,7.9216735197588095,85.71428571428571
ABT,F,20,0,,,
ACGL,A,1,40,1.6768970993551044,1.5115924043784252,97.5
ACGL,B,1,9,1.3968097498769436,1.2254920583019577,100.0
