ticker,fwd_days,n_bars,sp_mean,sp_std,thresh_lo,thresh_hi,baseline_trough_n,baseline_trough_mean,baseline_trough_median,baseline_trough_winrate,P1_ExtremeLow_n,P1_ExtremeLow_mean,P1_ExtremeLow_median,P1_ExtremeLow_winrate,P1b_ModerateLow_n,P1b_ModerateLow_mean,P1b_ModerateLow_median,P1b_ModerateLow_winrate,P2_BullDominant_n,P2_BullDominant_mean,P2_BullDominant_median,P2_BullDominant_winrate,P3_POCDivergence_n,P3_POCDivergence_mean,P3_POCDivergence_median,P3_POCDivergence_winrate,P4_P1andP2_n,P4_P1andP2_mean,P4_P1andP2_median,P4_P1andP2_winrate,P5_VW_ExtremeLow_n,P5_VW_ExtremeLow_mean,P5_VW_ExtremeLow_median,P5_VW_ExtremeLow_winrate,baseline_peak_n,baseline_peak_mean,baseline_peak_median,baseline_peak_winrate,P1_ExtremeHigh_n,P1_ExtremeHigh_mean,P1_ExtremeHigh_median,P1_ExtremeHigh_winrate,P2p_BearDominant_n,P2p_BearDominant_mean,P2p_BearDominant_median,P2p_BearDominant_winrate
A,10,1255,-1.7782,10.5762,-22.9305,19.3742,36,5.215193281078924,4.743191785307581,100.0,2,8.564561661679635,8.564561661679635,100.0,11,5.760428625716956,5.761900505851952,100.0,18,5.776462331344425,4.743191785307581,100.0,6,5.461125803586917,4.801715898078356,100.0,0,,,,2,8.564561661679635,8.564561661679635,100.0,36,5.46310454810737,4.925390387913203,100.0,0,,,,10,6.4721679992080965,6.726667383744587,100.0
A,20,1255,-1.7782,10.5762,-22.9305,19.3742,36,5.864414735663511,5.622922047969703,80.55555555555556,2,11.124357419411387,11.124357419411387,100.0,11,5.974995110317827,5.821010059717505,90.9090909090909,18,7.153141252293384,6.918640414799278,83.33333333333334,6,3.089370236326299,5.808144572902639,66.66666666666666,0,,,,2,11.124357419411387,11.124357419411387,100.0,36,4.751699884299522,5.540833593078341,80.55555555555556,0,,,,10,5.4232751997375575,6.578130275070235,80.0
A,30,1255,-1.7782,10.5762,-22.9305,19.3742,36,4.997213296771301,5.727619012331262,63.888888888888886,2,5.149415340846969,5.149415340846969,100.0,11,5.916855629943745,5.490783696091348,72.72727272727273,18,6.017400814836954,5.970292783505407,61.111111111111114,6,4.504678724845552,4.988038167278178,66.66666666666666,0,,,,2,5.149415340846969,5.149415340846969,100.0,36,4.694923173845392,5.311524975474583,69.44444444444444,0,,,,10,4.89500322325184,5.01632200808695,60.0
A,60,1255,-1.7782,10.5762,-22.9305,19.3742,36,5.078926857512984,3.080064712573191,55.55555555555556,2,19.415274288089034,19.415274288089034,100.0,11,5.956696135641835,-0.2914696845577427,45.45454545454545,18,4.370120886270481,3.080064712573191,61.111111111111114,6,3.6704897111969355,4.513945411421286,50.0,0,,,,2,19.415274288089034,19.415274288089034,100.0,36,5.5014439765196235,7.4922344898481095,63.888888888888886,0,,,,10,2.5894951914489805,-0.7101262455286287,50.0
AAPL,10,1255,2.3875,8.9815,-15.5756,20.3506,30,7.601701715705897,6.917520236766776,100.0,5,8.943841781123565,6.819920146568926,100.0,14,8.12836295586889,7.703558423850253,100.0,19,7.3257718832567535,7.015120326964626,100.0,6,7.564805620221375,6.302158105754382,100.0,0,,,,4,10.402091381008136,8.549133948071471,100.0,31,5.179025494739564,5.354472626885398,100.0,1,6.822257709828768,6.822257709828768,100.0,7,4.5720393574075855,4.106495447857715,100.0
AAPL,20,1255,2.3875,8.9815,-15.5756,20.3506,30,7.628907466535641,7.2039322753772055,93.33333333333333,5,9.72601809217611,13.078596910674408,80.0,14,7.673404972199575,8.69768368763837,85.71428571428571,19,6.80339296912786,6.924914821405586,94.73684210526315,6,1.8933218623805343,0.3681476403913038,66.66666666666666,0,,,,4,11.56604435335916,13.449741136905958,75.0,31,4.201484951199857,5.230623662584737,74.19354838709677,1,5.661316612030639,5.661316612030639,100.0,7,1.587870334369047,5.230623662584737,57.14285714285714
AAPL,30,1255,2.3875,8.9815,-15.5756,20.3506,30,8.40767560284198,7.603304530696809,80.0,5,13.873893564327227,17.361674842318443,100.0,14,9.061451685663636,7.1125741823265525,78.57142857142857,19,6.432760241286975,6.618472715508411,73.68421052631578,6,4.890801152673627,3.5840831781634863,66.66666666666666,0,,,,4,16.703690692231916,19.784238334515386,100.0,31,3.550766449718485,3.6580709752966394,67.74193548387096,1,2.7791916722998713,2.7791916722998713,100.0,7,-2.733382619146592,-5.139266123848604,42.857142857142854
AAPL,60,1255,2.3875,8.9815,-15.5756,20.3506,30,12.827678520655546,14.665304584177864,80.0,5,20.67964886171665,21.92628660855523,100.0,14,15.221967996542231,16.285522943176897,78.57142857142857,19,7.353740777896412,7.267578012538024,68.42105263157895,6,11.129094642173117,14.672770586210849,66.66666666666666,0,,,,4,24.911129870302137,24.039334022004084,100.0,31,-0.45213902339082135,0.8311234196869377,54.83870967741935,1,2.135392182035337,2.135392182035337,100.0,7,-15.722442591671921,-17.075644069796393,14.285714285714285
ABBV,10,1255,4.1962,7.4304,-10.6647,19.057,30,5.742590748585842,5.277015657861432,100.0,3,3.2518527240111585,1.9326805585572784,100.0,13,6.918087477372221,5.986862631722251,100.0,13,6.270503807817071,6.56916019547663,100.0,8,6.1553427734085755,6.229450062799619,100.0,0,,,,3,3.2518527240111585,1.9326805585572784,100.0,33,4.908406568118215,3.8529091748256223,100.0,1,9.906008771115536,9.906008771115536,100.0,4,4.8085063919867626,2.90666062412275,100.0
ABBV,20,1255,4.1962,7.4304,-10.6647,19.057,30,5.451445814265551,5.077147124843618,76.66666666666667,3,6.895422071016202,6.1430700885356275,100.0,13,7.086530057149204,8.442299102582348,84.61538461538461,13,5.261688631564988,5.854875629338717,84.61538461538461,8,3.3890184619534773,2.959611115968392,75.0,0,,,,3,6.895422071016202,6.1430700885356275,100.0,33,3.55508563967924,3.1803399799231498,72.72727272727273,1,12.98409236389878,12.98409236389878,100.0,4,0.8587879157612109,-1.7966174516914468,50.0
ABBV,30,1255,4.1962,7.4304,-10.6647,19.057,30,7.837704876205056,8.457890785575204,83.33333333333334,3,8.362624015551921,7.373363423464872,100.0,13,9.877386886912472,9.831960029611452,100.0,13,7.0746889822035905,9.212302174587505,76.92307692307693,8,6.6319412197945375,7.5478912417177835,87.5,0,,,,3,8.362624015551921,7.373363423464872,100.0,33,2.9480366254529407,3.3137958512081145,69.6969696969697,1,14.673002302962693,14.673002302962693,100.0,4,-0.11533220151414181,-4.677654295393534,25.0
ABBV,60,1255,4.1962,7.4304,-10.6647,19.057,30,11.611916697608669,12.311772425837319,80.0,3,16.05778657977333,16.544644162335427,100.0,13,15.683699571435868,16.544644162335427,100.0,13,14.129450594217813,13.45387784743391,84.61538461538461,8,9.488503377753764,7.715694775306858,75.0,0,,,,3,16.05778657977333,16.544644162335427,100.0,33,-0.12926990222178436,4.088891706946054,60.60606060606061,1,12.384609703117192,12.384609703117192,100.0,4,-2.40735266031769,-3.717336420727805,50.0
ABNB,10,1255,-2.2457,13.7372,-29.7201,25.2288,35,9.036129003141868,6.673219572999846,100.0,4,11.573269218780556,11.382204973025015,100.0,10,13.16534579997969,13.35021326700329,100.0,15,7.988935941366929,6.405837964319152,100.0,11,7.581428869802171,5.296743029700747,100.0,0,,,,6,13.527157746107179,14.206283996858819,100.0,31,9.996909964919478,9.574541004178903,100.0,1,9.81924759131223,9.81924759131223,100.0,8,12.478668263083787,11.125405723720302,100.0
ABNB,20,1255,-2.2457,13.7372,-29.7201,25.2288,35,9.29077227956258,7.582402666762311,85.71428571428571,4,14.505070085219868,13.686004736360417,75.0,10,15.753878398584936,13.34653571717728,90.0,15,6.333864616449525,4.8663514341582985,80.0,11,7.304619892749366,5.211292153569809,90.9090909090909,0,,,,6,18.17263561439293,20.53813529381126,83.33333333333334,31,9.431550805048577,9.115120976364604,93.54838709677419,1,15.256058615989945,15.256058615989945,100.0,8,11.723781139206826,11.37704115763307,87.5
ABNB,30,1255,-2.2457,13.7372,-29.7201,25.2288,35,8.443390573648374,4.395601702535151,74.28571428571429,4,19.328250137484645,22.953804732452166,75.0,10,17.41084655638442,20.027228818331068,80.0,15,4.210615361652155,3.0080672233335433,73.33333333333333,11,7.752790073293036,3.981428676054782,72.72727272727273,0,,,,6,21.20801332237353,24.96753969215131,83.33333333333334,31,8.388561297186163,8.929896749236905,83.87096774193549,1,10.773201004396507,10.773201004396507,100.0,8,9.816510835809872,6.588688017922055,100.0
ABNB,60,1255,-2.2457,13.7372,-29.7201,25.2288,35,7.88022160048342,5.203924172258806,65.71428571428571,4,21.528837671825677,17.578611022777444,100.0,10,18.76194242413458,19.791197062612184,90.0,15,5.031666405798936,2.1612905686901462,60.0,11,8.27294687301029,15.948887769988524,63.63636363636363,0,,,,6,17.40657891283956,17.578611022777444,83.33333333333334,31,11.640037880959442,11.10714323301981,74.19354838709677,1,24.128532370861468,24.128532370861468,100.0,8,14.702580032902823,10.260324155051151,62.5
ABT,10,1255,-0.238,6.8873,-14.0125,13.5366,35,4.686454949521799,4.202255091858585,100.0,3,6.377136469973668,6.944434217825232,100.0,13,5.192287107936216,4.398837469467272,100.0,20,4.2964707022214625,3.025190020351464,100.0,11,5.38474005108683,4.3238047522853655,100.0,0,,,,3,6.377136469973668,6.944434217825232,100.0,33,4.0777260027065445,3.170607480495049,100.0,1,8.971618829991245,8.971618829991245,100.0,5,4.233872969700089,2.471719980696619,100.0
ABT,20,1255,-0.238,6.8873,-14.0125,13.5366,35,5.245452059071093,4.889559549846159,85.71428571428571,3,5.17734808817577,5.315640197420307,100.0,13,6.00464314794419,5.315640197420307,92.3076923076923,20,5.37559504131122,4.826362764023615,85.0,11,5.5755232538138655,3.8915873920957953,72.72727272727273,0,,,,3,5.17734808817577,5.315640197420307,100.0,33,3.811054938194649,3.0902194797265032,84.84848484848484,1,5.398668278751062,5.398668278751062,100.0,5,2.9619817367711985,4.652113665258099,80.0
ABT,30,1255,-0.238,6.8873,-14.0125,13.5366,35,5.491935509077483,4.527078102582092,77.14285714285715,3,8.415285989230654,7.775823006488267,100.0,13,7.072657673436527,7.775823006488267,92.3076923076923,20,4.720719242538974,3.498319702459316,70.0,11,7.529982812254755,5.672992424029008,72.72727272727273,0,,,,3,8.415285989230654,7.775823006488267,100.0,33,4.443659763288701,4.985290955063889,78.78787878787878,1,8.74340896427421,8.74340896427421,100.0,5,2.249493263329897,2.8896505362145843,60.0
ABT,60,1255,-0.238,6.8873,-14.0125,13.5366,35,3.917508839439227,2.6366266055890044,62.857142857142854,3,10.863179169277805,4.154441755629315,100.0,13,8.715761986284146,10.007476527041343,84.61538461538461,20,1.8025340819011149,0.18037727326220016,50.0,11,6.450495976765281,10.007476527041343,72.72727272727273,0,,,,3,10.863179169277805,4.154441755629315,100.0,33,6.362303354058033,6.730989098614009,81.81818181818183,1,5.411816537227642,5.411816537227642,100.0,5,5.814520305589253,10.390973853206775,60.0
ACGL,10,1255,3.8163,7.1256,-10.4349,18.0676,36,5.747224420064611,5.735044697172098,100.0,5,5.8280315403593494,7.042251971907024,100.0,14,5.9284824474357025,6.0404155690773464,100.0,26,5.908088528547296,6.021137317754921,100.0,7,5.732773717090761,6.898117434070867,100.0,2,7.92557726545793,7.92557726545793,100.0,7,5.966074377111113,7.042251971907024,100.0,30,4.490260002692101,4.61973515217897,100.0,1,0.9722309668096436,0.9722309668096436,100.0,3,3.4345201792461926,2.655738038443477,100.0
ACGL,20,1255,3.8163,7.1256,-10.4349,18.0676,36,7.211042810523476,7.292838429326279,94.44444444444444,5,5.55026278887506,6.95524544315463,100.0,14,6.926185854441513,7.040289717624217,100.0,26,7.414200542507926,7.932142224149312,92.3076923076923,7,8.485869797000953,9.079769879228714,100.0,2,1.7335485038681284,1.7335485038681284,100.0,7,5.934929773525498,6.95524544315463,100.0,30,4.229218337666789,5.154224098613847,86.66666666666667,1,-5.524678649568247,-5.524678649568247,0.0,3,6.108196118403101,6.392455847011822,100.0
ACGL,30,1255,3.8163,7.1256,-10.4349,18.0676,36,7.493336149681626,7.897858963526014,83.33333333333334,5,4.049465277897134,2.9836689712353386,100.0,14,7.17645721973452,3.937072385270519,85.71428571428571,26,8.57827066177279,8.911701768751989,84.61538461538461,7,10.678302984856339,13.365100252771125,100.0,2,1.5916461240955324,1.5916461240955324,100.0,7,4.390247704448312,2.9836689712353386,85.71428571428571,30,2.401059657494021,3.136273176424913,73.33333333333333,1,-5.524678649568247,-5.524678649568247,0.0,3,3.7652478071485542,2.939918722561728,100.0
ACGL,60,1255,3.8163,7.1256,-10.4349,18.0676,36,9.896130827552279,7.845929590158807,83.33333333333334,5,7.870150991167103,5.050167290236999,80.0,14,9.451082072042357,7.172685329290706,85.71428571428571,26,11.080739131728542,10.502977485953995,80.76923076923077,7,12.407846761850411,11.413689914979628,100.0,2,3.6274393480021123,3.6274393480021123,50.0,7,7.467054031090307,5.050167290236999,85.71428571428571,30,-0.9616512701135914,1.1660968296370378,56.666666666666664,1,-10.617278722781338,-10.617278722781338,0.0,3,2.4514369714443878,2.1092899510117826,100.0
ACN,10,1255,-2.0754,10.5387,-23.1528,19.0019,35,7.1113827908305,7.73384985021564,100.0,2,9.41612216239544,9.41612216239544,100.0,13,6.714101500783117,7.377985670682656,100.0,16,6.564999776911654,7.744740780802125,100.0,8,4.864508219986078,4.3797429387835205,100.0,0,,,,2,9.41612216239544,9.41612216239544,100.0,31,4.990651828567342,4.379450939297063,100.0,0,,,,12,5.261013903101114,4.809622009636618,100.0
ACN,20,1255,-2.0754,10.5387,-23.1528,19.0019,35,6.452311816487694,7.172807899986243,77.14285714285715,2,1.4248913809023442,1.4248913809023442,100.0,13,4.081303654639078,5.790106740186976,69.23076923076923,16,7.348778182612971,6.292063307000678,81.25,8,2.690990633398485,0.23519234930161304,50.0,0,,,,2,1.4248913809023442,1.4248913809023442,100.0,31,4.240454092717791,3.558061376951111,80.64516129032258,0,,,,12,2.708060099461331,2.531506163682714,83.33333333333334
ACN,30,1255,-2.0754,10.5387,-23.1528,19.0019,35,5.598194889317536,6.349405437474205,82.85714285714286,2,0.5394238633621848,0.5394238633621848,100.0,13,5.922242885066605,6.828477393921317,84.61538461538461,16,3.76951573567078,4.4008260641080685,81.25,8,6.205777664482962,6.26758795426386,75.0,0,,,,2,0.5394238633621848,0.5394238633621848,100.0,31,4.364864591944563,4.703926993145532,61.29032258064516,0,,,,12,4.451389542588912,5.602790673735231,66.66666666666666
ACN,60,1255,-2.0754,10.5387,-23.1528,19.0019,35,5.96423409699698,4.977788667778695,65.71428571428571,2,10.919914537304061,10.919914537304061,100.0,13,7.338904205428793,4.977788667778695,84.61538461538461,16,3.0248206994804128,3.290737579149079,56.25,8,6.27500272401776,3.4690819156562505,62.5,0,,,,2,10.919914537304061,10.919914537304061,100.0,31,7.384459307292636,6.289185957296636,70.96774193548387,0,,,,12,6.329928146153928,4.84543477428693,58.333333333333336
ADBE,10,1255,-5.1894,13.9942,-33.1778,22.7991,35,6.899891369322792,4.9371128546275544,100.0,4,5.623304821085115,4.808563825546276,100.0,12,7.070057790431911,4.916868443691213,100.0,14,6.587444517550525,5.85568066331527,100.0,7,5.0641046787404,3.4358261159435197,100.0,1,4.987770939875989,4.987770939875989,100.0,5,6.0825766691303755,4.987770939875989,100.0,29,7.772800916001251,5.53632575679262,100.0,2,3.7748676492038653,3.7748676492038653,100.0,6,9.661024751612876,7.164496341081279,100.0
ADBE,20,1255,-5.1894,13.9942,-33.1778,22.7991,35,7.419097864731831,5.574727203257912,74.28571428571429,4,8.90475065388467,9.400599075261768,75.0,12,8.810294300804216,9.312464010424339,75.0,14,4.922373849897839,2.959624194814496,71.42857142857143,7,0.9404622505146131,-1.2210100222660079,42.857142857142854,1,-1.525210880047494,-1.525210880047494,0.0,5,10.122394840932468,13.226470947265625,80.0,29,10.344392124776503,10.526814275664746,93.10344827586206,2,-2.9643399829079056,-2.9643399829079056,50.0,6,14.944924991805777,14.613601409848002,100.0
ADBE,30,1255,-5.1894,13.9942,-33.1778,22.7991,35,6.131172245133279,2.558400384759433,57.14285714285714,4,11.548573777558088,12.619209973133284,75.0,12,7.53586697695577,6.350349097019265,58.333333333333336,14,5.961923449472278,5.437289986894643,64.28571428571429,7,-0.6252219514690535,-3.0339945946858107,28.57142857142857,1,3.464890893532193,3.464890893532193,100.0,5,8.624387823228147,3.464890893532193,60.0,29,10.798470577122245,10.565580181288697,86.20689655172413,2,-5.850604311541442,-5.850604311541442,0.0,6,12.002575888409396,13.79350187552276,83.33333333333334
