ticker,pattern,fwd_days,n,mean_ret,median,win_rate
A,L,1,37,1.9295207464738422,1.5310369672114812,100.0
A,M,1,31,2.0572554921449626,1.5343166412999572,100.0
A,N,1,6,1.2695578938397238,1.2405354646175912,100.0
A,O,1,13,1.410835286160871,1.3155870110142984,100.0
A,E,1,5,2.258010447931286,1.38164317895031,100.0
A,P,1,0,,,
A,Q,1,5,2.258010447931286,1.38164317895031,100.0
A,R,1,2,2.373527460447656,2.373527460447656,100.0
A,L,5,37,5.180532152936217,5.377361761541462,100.0
A,M,5,31,5.06520484968434,5.184182763022666,100.0
A,N,5,6,5.776389886404243,6.0550732075621845,100.0
A,O,5,13,5.9761913834833,5.465203437680008,100.0
A,E,5,5,7.60745409622398,7.948904107302165,100.0
A,P,5,0,,,
A,Q,5,5,7.60745409622398,7.948904107302165,100.0
A,R,5,2,8.216199492644368,8.216199492644368,100.0
A,L,10,37,5.174784278248657,4.501347718232946,100.0
A,M,10,31,5.455214113097019,5.192965358809314,100.0
A,N,10,6,3.7258967981987836,3.801890386848159,100.0
A,O,10,13,5.116632283261466,4.1157542114727645,100.0
A,E,10,5,6.484699179698427,4.16999515566473,100.0
A,P,10,0,,,
A,Q,10,5,6.484699179698427,4.16999515566473,100.0
A,R,10,2,10.042599597737734,10.042599597737734,100.0
A,L,20,37,5.97127924797252,5.792433041286554,81.08108108108108
A,M,20,31,5.619520970256386,5.453411054652852,83.87096774193549
A,N,20,6,7.788697016172537,9.230684007705978,66.66666666666666
A,O,20,13,9.715955116160973,8.642966324315129,92.3076923076923
A,E,20,5,7.3545807070802836,8.642966324315129,60.0
A,P,20,0,,,
A,Q,20,5,7.3545807070802836,8.642966324315129,60.0
A,R,20,2,12.483235718297934,12.483235718297934,100.0
AAPL,L,1,33,2.1500765664171086,1.2498372201996237,100.0
AAPL,M,1,29,2.3552523557485805,1.4286365271970856,100.0
AAPL,N,1,4,0.6625520937639364,0.5915569984165407,100.0
AAPL,O,1,11,1.060979112044062,0.6318550430994125,100.0
AAPL,E,1,5,2.087683679369678,0.6318550430994125,100.0
AAPL,P,1,0,,,
AAPL,Q,1,5,2.087683679369678,0.6318550430994125,100.0
AAPL,R,1,2,1.2361282273621907,1.2361282273621907,100.0
AAPL,L,5,33,5.3767976532345045,4.68989638025837,100.0
AAPL,M,5,29,5.438504790434644,4.681443083967799,100.0
AAPL,N,5,4,4.929420908533484,5.795396523916869,100.0
AAPL,O,5,11,4.849156083704514,4.68989638025837,100.0
AAPL,E,5,5,7.4389476360391,8.335515316821269,100.0
AAPL,P,5,0,,,
AAPL,Q,5,5,7.4389476360391,8.335515316821269,100.0
AAPL,R,5,2,6.335195590129803,6.335195590129803,100.0
AAPL,L,10,33,7.498731072393343,6.819920146568926,100.0
AAPL,M,10,29,7.687366082870524,6.819920146568926,100.0
AAPL,N,10,4,6.131127246433783,6.137102858168081,100.0
AAPL,O,10,11,6.509498234856576,5.497849304482996,100.0
AAPL,E,10,5,8.74491095010872,8.23972638090801,100.0
AAPL,P,10,0,,,
AAPL,Q,10,5,8.74491095010872,8.23972638090801,100.0
AAPL,R,10,2,4.891157476544224,4.891157476544224,100.0
AAPL,L,20,33,7.4569246263432705,7.254706775997957,90.9090909090909
AAPL,M,20,29,7.342588190931372,7.254706775997957,89.65517241379311
AAPL,N,20,4,8.285863783079535,8.171024745300114,100.0
AAPL,O,20,11,7.479811007371623,7.254706775997957,90.9090909090909
AAPL,E,20,5,7.2484313681534704,3.667910428393142,100.0
AAPL,P,20,0,,,
AAPL,Q,20,5,7.2484313681534704,3.667910428393142,100.0
AAPL,R,20,2,1.2551201622547323,1.2551201622547323,100.0
ABBV,L,1,34,1.3058390386214895,1.087946945478108,100.0
ABBV,M,1,26,1.3994334802914459,1.2064676102596565,100.0
ABBV,N,1,8,1.0016571031941306,0.6086902666972188,100.0
ABBV,O,1,14,1.0783150887092965,0.7979518316422916,100.0
ABBV,E,1,3,1.8328685445467887,1.6883545714462458,100.0
ABBV,P,1,0,,,
ABBV,Q,1,3,1.8328685445467887,1.6883545714462458,100.0
ABBV,R,1,2,1.9051255310970605,1.9051255310970605,100.0
ABBV,L,5,34,3.761964481645634,3.4836427018896314,100.0
ABBV,M,5,26,3.9659199683425523,3.3467953629941345,100.0
ABBV,N,5,8,3.099109149880651,3.6943368121364726,100.0
ABBV,O,5,14,3.640791509848181,3.744323430284828,100.0
ABBV,E,5,3,4.826614261296602,4.46027562610464,100.0
ABBV,P,5,0,,,
ABBV,Q,5,3,4.826614261296602,4.46027562610464,100.0
ABBV,R,5,2,5.670280119467879,5.670280119467879,100.0
ABBV,L,10,34,5.6752621061534345,5.405225373504493,100.0
ABBV,M,10,26,6.246472189357562,5.644598579775915,100.0
ABBV,N,10,8,3.818829335740016,3.9941154446738936,100.0
ABBV,O,10,14,5.451882468470465,5.1988249412742125,100.0
ABBV,E,10,3,6.110990016217694,5.874069923053844,100.0
ABBV,P,10,0,,,
ABBV,Q,10,3,6.110990016217694,5.874069923053844,100.0
ABBV,R,10,2,6.229450062799619,6.229450062799619,100.0
ABBV,L,20,34,5.0760444620398975,5.077147124843618,76.47058823529412
ABBV,M,20,26,5.0619783023026805,5.077147124843618,73.07692307692307
ABBV,N,20,8,5.121759481185857,4.433245843167757,87.5
ABBV,O,20,14,6.783926795136053,6.800423699078662,78.57142857142857
ABBV,E,20,3,1.7988780459702627,1.894751597932622,66.66666666666666
ABBV,P,20,0,,,
ABBV,Q,20,3,1.7988780459702627,1.894751597932622,66.66666666666666
ABBV,R,20,2,5.534232207520389,5.534232207520389,100.0
ABNB,L,1,39,2.908488377129312,2.48387244439893,100.0
ABNB,M,1,32,3.00039330601887,2.495332971324321,100.0
ABNB,N,1,7,2.4883515593484775,2.1148931896817253,100.0
ABNB,O,1,12,2.9318396947801255,3.0243604220530576,100.0
ABNB,E,1,0,,,
ABNB,P,1,0,,,
ABNB,Q,1,0,,,
ABNB,R,1,0,,,
ABNB,L,5,39,6.42236267372495,6.002072462379912,100.0
ABNB,M,5,32,6.824817864019035,6.088907934173857,100.0
ABNB,N,5,7,4.58256751809485,4.751908578099737,100.0
ABNB,O,5,12,8.261265230585325,7.08829886441638,100.0
ABNB,E,5,0,,,
ABNB,P,5,0,,,
ABNB,Q,5,0,,,
ABNB,R,5,0,,,
ABNB,L,10,39,9.28748250669806,7.9113308783628735,100.0
ABNB,M,10,32,10.000921839265658,8.30900537325546,100.0
ABNB,N,10,7,6.026045557817612,5.804933613124231,100.0
ABNB,O,10,12,7.728618438735013,6.239076593062038,100.0
ABNB,E,10,0,,,
ABNB,P,10,0,,,
ABNB,Q,10,0,,,
ABNB,R,10,0,,,
ABNB,L,20,39,9.694426312234835,9.215699172504573,87.17948717948718
ABNB,M,20,32,10.574565322017357,9.533400509722249,87.5
ABNB,N,20,7,5.670933696086175,4.285032057665506,85.71428571428571
ABNB,O,20,12,7.469606980733247,8.135551379070478,91.66666666666666
