ticker,data_source,bars,fwd_days,f_mean,f_std,thresh,n_troughs,ext_n,ext_mean_ret,ext_median,ext_win_rate,nor_n,nor_mean_ret,nor_median,nor_win_rate
A,CSV,1255,1,0.067,0.8843,-1.7017,37,3,2.1112850630577737,1.5343166412999572,100.0,34,1.9134827185399663,1.4873501910505835,100.0
A,CSV,1255,5,0.067,0.8843,-1.7017,37,3,5.886217659042319,5.184182763022666,100.0,34,5.118265784750385,5.421282599610735,100.0
A,CSV,1255,10,0.067,0.8843,-1.7017,37,3,6.383788670231212,6.921276845960728,100.0,34,5.06810742013255,4.147074821031307,100.0
A,CSV,1255,20,0.067,0.8843,-1.7017,37,3,4.020487200857315,2.80359329360373,100.0,34,6.143407958012097,5.806721550502029,79.41176470588235
AAPL,CSV,1255,1,0.1747,0.9082,-1.6418,33,6,2.1504422639638405,1.4203504314267188,100.0,27,2.1499953002956125,1.2498372201996237,100.0
AAPL,CSV,1255,5,0.1747,0.9082,-1.6418,33,6,3.6234387503240355,2.4915168164954444,100.0,27,5.766432964992386,4.732396363421094,100.0
AAPL,CSV,1255,10,0.1747,0.9082,-1.6418,33,6,6.770049382402359,7.493198210432013,100.0,27,7.660660336835785,6.677991060328867,100.0
AAPL,CSV,1255,20,0.1747,0.9082,-1.6418,33,6,1.0414048476182074,2.0840273002171963,83.33333333333334,27,8.882595688282173,9.458958791620448,92.5925925925926
ABBV,CSV,1255,1,0.2307,0.8755,-1.5204,34,0,,,,34,1.3058390386214895,1.087946945478108,100.0
ABBV,CSV,1255,5,0.2307,0.8755,-1.5204,34,0,,,,34,3.761964481645634,3.4836427018896314,100.0
ABBV,CSV,1255,10,0.2307,0.8755,-1.5204,34,0,,,,34,5.6752621061534345,5.405225373504493,100.0
ABBV,CSV,1255,20,0.2307,0.8755,-1.5204,34,0,,,,34,5.0760444620398975,5.077147124843618,76.47058823529412
ABNB,CSV,1255,1,0.0787,0.8341,-1.5895,38,8,2.530908274529624,2.6994682363552003,100.0,30,3.042729683161818,2.4726908133068526,100.0
ABNB,CSV,1255,5,0.0787,0.8341,-1.5895,38,8,5.476244009844053,5.2114394742646475,100.0,30,6.80295348423347,6.088907934173857,100.0
ABNB,CSV,1255,10,0.0787,0.8341,-1.5895,38,8,11.120184924241656,10.001067160744592,100.0,30,8.811237755423068,7.36303567036158,100.0
ABNB,CSV,1255,20,0.0787,0.8341,-1.5895,38,8,10.635565258411141,9.35650475751764,75.0,30,9.281572054497618,8.399050919633442,90.0
ABT,CSV,1255,1,0.0449,0.8518,-1.6587,37,5,1.102743994111074,0.30816378871760736,100.0,32,1.5108375114168215,1.0606997766770836,100.0
ABT,CSV,1255,5,0.0449,0.8518,-1.6587,37,5,4.643412955955191,5.1984449197391704,100.0,32,3.850569766687969,3.386554134879748,100.0
ABT,CSV,1255,10,0.0449,0.8518,-1.6587,37,5,5.804115523414109,6.944434217825232,100.0,32,4.577572743617334,4.0649946432101105,100.0
ABT,CSV,1255,20,0.0449,0.8518,-1.6587,37,5,6.06779353583146,6.490917457438368,80.0,32,5.427322718156246,5.102599873633233,87.5
ACGL,CSV,1255,1,0.2463,0.8395,-1.4328,40,5,1.6214516473495,1.7654716434871955,100.0,35,1.6848178782130476,1.4019739217790281,97.14285714285714
ACGL,CSV,1255,5,0.2463,0.8395,-1.4328,40,5,4.443908623022883,4.75707503579692,100.0,35,4.690161522007747,4.847566284653323,100.0
ACGL,CSV,1255,10,0.2463,0.8395,-1.4328,40,5,3.529700582150272,3.0861405046856185,100.0,35,5.969072079436498,6.3634187310773775,100.0
ACGL,CSV,1255,20,0.2463,0.8395,-1.4328,40,5,6.503661825612018,7.435046770839356,80.0,35,7.100503460310924,7.150630087813202,91.42857142857143
ACN,CSV,1255,1,0.0786,0.9171,-1.7555,38,4,3.2975175405805004,2.1675751964538126,100.0,34,2.012493124444483,1.68004297462495,100.0
