ticker,data_source,bars,fwd_days,f_mean,f_std,thresh,n_troughs,ext_n,ext_mean_ret,ext_median,ext_win_rate,nor_n,nor_mean_ret,nor_median,nor_win_rate
ACN,CSV,1255,5,0.0786,0.9171,-1.7555,38,4,7.665448384099568,8.26898634772957,100.0,34,5.030727984908476,4.755780631836976,100.0
ACN,CSV,1255,10,0.0786,0.9171,-1.7555,38,4,5.915786986734691,6.2947354018018435,100.0,34,7.078600439870208,7.744740780802125,100.0
ACN,CSV,1255,20,0.0786,0.9171,-1.7555,38,4,-1.5460755882378063,-1.8732244173176833,50.0,34,7.35156907747912,7.35128418187108,82.35294117647058
ADBE,CSV,1255,1,0.0653,0.8787,-1.6922,36,4,4.918133426667008,5.099617926882375,100.0,32,2.320202622679997,1.9821721599724804,100.0
ADBE,CSV,1255,5,0.0653,0.8787,-1.6922,36,4,4.901300441741405,3.638756372728187,100.0,32,5.421547762228165,4.771305398906874,100.0
ADBE,CSV,1255,10,0.0653,0.8787,-1.6922,36,4,5.8653990313315285,4.252707742743601,100.0,32,7.266597496630485,5.830351620691053,100.0
ADBE,CSV,1255,20,0.0653,0.8787,-1.6922,36,4,5.3589194982510495,5.8506300336090655,50.0,32,7.456934942466518,5.1774977989733575,78.125
ADI,CSV,1255,1,0.1186,0.7756,-1.4325,37,3,1.5438172039083013,1.272389938021874,100.0,34,2.0168674134814113,1.9509672792703472,100.0
ADI,CSV,1255,5,0.1186,0.7756,-1.4325,37,3,3.5395065332498894,2.0887471538051656,100.0,34,6.262701168401826,4.847773114172919,100.0
ADI,CSV,1255,10,0.1186,0.7756,-1.4325,37,3,4.5586102903046894,2.5220658240549123,100.0,34,6.62837131493782,5.331530138271475,100.0
ADI,CSV,1255,20,0.1186,0.7756,-1.4325,37,3,0.6996630466278285,-2.9444828118701696,33.33333333333333,34,7.204205899675621,6.471386302889132,82.35294117647058
ADM,CSV,1255,1,0.0649,0.8213,-1.5777,41,2,0.8417856523996172,0.8417856523996172,100.0,39,1.8154286358569642,1.3755239145646252,100.0
ADM,CSV,1255,5,0.0649,0.8213,-1.5777,41,2,5.597814572094902,5.597814572094902,100.0,39,4.183154490861942,3.6608161772275425,97.43589743589743
ADM,CSV,1255,10,0.0649,0.8213,-1.5777,41,2,2.6753444795512653,2.6753444795512653,100.0,39,4.831632665985368,4.182185105724968,100.0
ADM,CSV,1255,20,0.0649,0.8213,-1.5777,41,2,5.943910363795251,5.943910363795251,100.0,39,4.669486815495658,3.940509376097557,74.35897435897436
ADP,CSV,1255,1,0.1606,0.909,-1.6574,38,1,1.4509908255159476,1.4509908255159476,100.0,37,1.5154310660190287,1.2428575283092687,100.0
ADP,CSV,1255,5,0.1606,0.909,-1.6574,38,1,4.434382272157899,4.434382272157899,100.0,37,3.1011776966965314,2.5054236441977613,100.0
ADP,CSV,1255,10,0.1606,0.909,-1.6574,38,1,4.643129710780781,4.643129710780781,100.0,37,4.0893792995691545,4.316011596120706,100.0
ADP,CSV,1255,20,0.1606,0.909,-1.6574,38,1,4.042358334420559,4.042358334420559,100.0,37,3.457874071382858,2.6996284171808136,81.08108108108108
ADSK,CSV,1255,1,0.0821,0.8481,-1.6141,38,4,3.234451555302966,3.0109640291359936,100.0,34,2.1955363703492403,1.4467558448709008,100.0
ADSK,CSV,1255,5,0.0821,0.8481,-1.6141,38,4,2.512824755693654,2.6771610536886206,100.0,34,7.711986955003617,6.5148026074535,100.0
ADSK,CSV,1255,10,0.0821,0.8481,-1.6141,38,4,5.277421940519238,4.069185205640816,100.0,34,8.444718238649527,8.10753516043054,100.0
ADSK,CSV,1255,20,0.0821,0.8481,-1.6141,38,4,5.825489851746646,5.661796930611969,50.0,34,8.056592732974647,5.100992214561465,91.17647058823529
AEE,CSV,1255,1,0.163,0.8046,-1.4462,40,7,1.5283283832709587,1.3023643664150781,100.0,33,1.2154858280134113,0.8646804234874468,100.0
AEE,CSV,1255,5,0.163,0.8046,-1.4462,40,7,3.923058811166745,3.2382267922956434,100.0,33,3.1159016210546175,3.015926317168002,100.0
AEE,CSV,1255,10,0.163,0.8046,-1.4462,40,7,3.691636620858926,2.632387496791264,100.0,33,3.947382060561601,3.8659555419648224,100.0
AEE,CSV,1255,20,0.163,0.8046,-1.4462,40,7,4.941451621093122,3.0334142922022784,100.0,33,3.918811132473065,5.269844235251772,78.78787878787878
AEP,CSV,1255,1,0.1645,0.8483,-1.5321,39,4,1.2919922433686613,1.531543408256682,100.0,35,1.397735262989633,1.048522905448602,100.0
AEP,CSV,1255,5,0.1645,0.8483,-1.5321,39,4,2.7572639300943695,1.641176930575964,100.0,35,3.375837848156429,3.0141747780310317,100.0
AEP,CSV,1255,10,0.1645,0.8483,-1.5321,39,4,2.544261738781107,1.5376535052721916,100.0,35,5.214156042234771,5.17957208838607,100.0
AEP,CSV,1255,20,0.1645,0.8483,-1.5321,39,4,3.8557253196083687,4.020397961310709,75.0,35,5.921631051104489,6.126482015057879,85.71428571428571
AES,CSV,1255,1,-0.0094,0.9003,-1.8101,36,3,0.9544077002422627,0.7092086144328544,100.0,33,2.3226007058100775,1.8367279331123993,100.0
AES,CSV,1255,5,-0.0094,0.9003,-1.8101,36,3,5.327916705992361,5.519027925400142,100.0,33,5.852398658929947,4.8974571014308115,100.0
AES,CSV,1255,10,-0.0094,0.9003,-1.8101,36,3,7.500494508412815,6.351290411008918,100.0,33,8.602888635754745,6.86130998730939,100.0
AES,CSV,1255,20,-0.0094,0.9003,-1.8101,36,3,17.290296756169212,12.001724000803522,100.0,33,9.352555091850935,5.39978036402549,90.9090909090909
AFL,CSV,1255,1,0.266,0.8841,-1.5022,43,8,1.3867214299285093,1.2903983732542135,100.0,35,1.6434675724588705,1.1896897344564696,100.0
AFL,CSV,1255,5,0.266,0.8841,-1.5022,43,8,3.6194244896979813,3.1829265443889407,100.0,35,3.9642379693751364,3.6044447350679687,100.0
AFL,CSV,1255,10,0.266,0.8841,-1.5022,43,8,3.759899289429592,3.5872888160708167,100.0,35,5.366239534147544,5.556576513176898,100.0
AFL,CSV,1255,20,0.266,0.8841,-1.5022,43,8,4.404928619836591,3.3504842486198685,75.0,35,5.424654410049143,5.134077874068977,88.57142857142857
AIG,CSV,1255,1,0.1997,0.84,-1.4804,39,5,1.3945796782098374,0.7627397101759652,100.0,34,2.0398860610051344,1.4305979827809239,100.0
AIG,CSV,1255,5,0.1997,0.84,-1.4804,39,5,3.368745596667047,3.527648221565734,100.0,34,4.549148169717965,4.73756649877003,100.0
AIG,CSV,1255,10,0.1997,0.84,-1.4804,39,5,4.346525637669581,4.0142863861646685,100.0,34,5.920070323350678,5.520403697596604,100.0
AIG,CSV,1255,20,0.1997,0.84,-1.4804,39,5,10.72467577302399,9.334020415170942,100.0,34,6.17719651796822,7.438592785418612,82.35294117647058
AIZ,CSV,1255,1,0.1431,0.8051,-1.4671,40,6,1.973881500091377,1.376208538801345,100.0,34,1.5961513226449384,1.4189436052633184,100.0
AIZ,CSV,1255,5,0.1431,0.8051,-1.4671,40,6,4.694911068881219,4.07650077230903,100.0,34,3.787534014834847,3.362461027520344,100.0
AIZ,CSV,1255,10,0.1431,0.8051,-1.4671,40,6,5.95967097139674,4.378102407309098,100.0,34,5.6723193518806285,4.268634454442764,100.0
AIZ,CSV,1255,20,0.1431,0.8051,-1.4671,40,6,5.573079564913679,3.5898951505141716,100.0,34,5.507814551887338,5.516076122214137,88.23529411764706
AJG,CSV,1255,1,0.2334,0.8483,-1.4632,38,6,1.9509648299137539,1.646253570833857,100.0,32,1.5131315718645166,1.2344092449998214,100.0
AJG,CSV,1255,5,0.2334,0.8483,-1.4632,38,6,3.5990928133946958,3.377016368182824,100.0,32,3.941751847614218,3.4874160928752787,100.0
AJG,CSV,1255,10,0.2334,0.8483,-1.4632,38,6,6.2163884682523145,5.679427236570406,100.0,32,5.011603214589932,4.909159717905936,100.0
AJG,CSV,1255,20,0.2334,0.8483,-1.4632,38,6,5.237414051198345,6.197319856268539,100.0,32,6.041339881779583,6.043413886446063,87.5
AKAM,CSV,1255,1,0.1034,0.8181,-1.5328,39,6,1.390733122893586,0.5367096586745116,100.0,33,1.6527594013891795,1.1990070750624804,100.0
AKAM,CSV,1255,5,0.1034,0.8181,-1.5328,39,6,5.877436175276049,4.856023623475514,100.0,33,5.474254882569089,3.548771241610916,100.0
AKAM,CSV,1255,10,0.1034,0.8181,-1.5328,39,6,6.142743279677149,5.09400511224799,100.0,33,7.09877815088012,6.563985985079457,100.0
AKAM,CSV,1255,20,0.1034,0.8181,-1.5328,39,6,7.648770167217168,6.855479289468876,83.33333333333334,33,7.283104456486892,7.398239420020558,84.84848484848484
ALB,CSV,1255,1,0.0101,0.9334,-1.8567,38,6,4.250596892458456,1.1738839156056768,100.0,32,3.3735179506898136,2.8633915796755387,100.0
ALB,CSV,1255,5,0.0101,0.9334,-1.8567,38,6,5.271607900714328,5.167094477846485,100.0,32,10.223789354267696,10.53539257595122,100.0
ALB,CSV,1255,10,0.0101,0.9334,-1.8567,38,6,11.048381673148981,11.621083271371196,100.0,32,12.99948899031228,11.88167742800024,100.0
ALB,CSV,1255,20,0.0101,0.9334,-1.8567,38,6,4.7867427815380035,-0.5854507330155478,50.0,32,14.24467196459966,14.13604342878379,84.375
ALGN,CSV,1255,1,-0.0486,0.8648,-1.7782,33,4,2.2686231425063044,1.5829205042408168,100.0,29,3.177196205397501,2.6277037336358946,100.0
ALGN,CSV,1255,5,-0.0486,0.8648,-1.7782,33,4,5.346530999224367,5.3789709700671,100.0,29,8.256734475018234,7.565312906906479,100.0
ALGN,CSV,1255,10,-0.0486,0.8648,-1.7782,33,4,10.663342190247267,9.957481667751207,100.0,29,10.041191581129645,8.697521078627767,100.0
ALGN,CSV,1255,20,-0.0486,0.8648,-1.7782,33,4,12.09046722795665,14.575319515872087,100.0,29,9.39021067157498,9.17172251741374,89.65517241379311
ALL,CSV,1255,1,0.125,0.8055,-1.486,36,4,2.265962373335472,2.155495193208073,100.0,32,1.5977750939548532,1.4654722001435236,100.0
ALL,CSV,1255,5,0.125,0.8055,-1.486,36,4,3.693433927056784,3.9668705441975654,100.0,32,4.737598732741664,4.373353683397143,100.0
ALL,CSV,1255,10,0.125,0.8055,-1.486,36,4,8.071823019049715,8.376934084002372,100.0,32,6.186222276329137,5.890737963392268,100.0
ALL,CSV,1255,20,0.125,0.8055,-1.486,36,4,6.212461946541138,6.042948107704978,100.0,32,7.138714217523966,7.1953928040245305,93.75
ALLE,CSV,1255,1,0.0328,0.827,-1.6213,38,2,0.7822780029741434,0.7822780029741434,100.0,36,1.5794847525879283,1.4109196683440395,100.0
ALLE,CSV,1255,5,0.0328,0.827,-1.6213,38,2,2.0838317389414196,2.0838317389414196,100.0,36,4.524314302113201,3.5791181407373527,100.0
ALLE,CSV,1255,10,0.0328,0.827,-1.6213,38,2,4.610812503492535,4.610812503492535,100.0,36,5.012612026933568,4.5317777334623734,100.0
ALLE,CSV,1255,20,0.0328,0.827,-1.6213,38,2,0.9949265835087457,0.9949265835087457,50.0,36,5.07644315212938,4.518511756499568,77.77777777777779
AMAT,CSV,1255,1,0.1638,0.8214,-1.479,38,3,3.8117263447487577,3.0881751593815614,100.0,35,2.3102893219946417,1.7671907924264207,100.0
AMAT,CSV,1255,5,0.1638,0.8214,-1.479,38,3,8.239619720036272,7.851229282352315,100.0,35,6.101780739630675,5.170292865009943,100.0
AMAT,CSV,1255,10,0.1638,0.8214,-1.479,38,3,14.686063301146758,16.947894414671033,100.0,35,9.597339020909006,8.77604315970891,100.0
AMAT,CSV,1255,20,0.1638,0.8214,-1.479,38,3,12.04262407781568,15.576536051968565,100.0,35,10.068979453431911,8.572368554557368,85.71428571428571
AMCR,CSV,1255,1,0.0384,0.8046,-1.5708,40,5,1.4200937543771872,1.3684315078026759,100.0,35,1.626028606739976,1.1148256455224292,97.14285714285714
AMCR,CSV,1255,5,0.0384,0.8046,-1.5708,40,5,4.1420392258864505,4.315800072940353,100.0,35,3.5498697265287475,3.3252358347477466,100.0
AMCR,CSV,1255,10,0.0384,0.8046,-1.5708,40,5,5.991871874339249,6.127902844552289,100.0,35,4.40508588205922,3.2888072168393077,100.0
AMCR,CSV,1255,20,0.0384,0.8046,-1.5708,40,5,8.849817541354847,7.497669220099587,100.0,35,4.268205583746453,4.0604365360918235,77.14285714285715
AMD,CSV,1255,1,0.0841,0.8796,-1.6751,34,3,8.890390444787455,2.5730988585875205,100.0,31,3.4936867919057004,2.7147693051491046,100.0
AMD,CSV,1255,5,0.0841,0.8796,-1.6751,34,3,14.727853563946269,17.037040562278936,100.0,31,8.222975586688099,7.288394668430899,100.0
AMD,CSV,1255,10,0.0841,0.8796,-1.6751,34,3,15.710581236036623,15.573456652288757,100.0,31,12.767808686542887,12.417772559591409,100.0
AMD,CSV,1255,20,0.0841,0.8796,-1.6751,34,3,16.80332043619738,17.992202104300084,100.0,31,12.657670691345343,8.951964293989235,80.64516129032258
AME,CSV,1255,1,0.16,0.8267,-1.4934,40,7,1.6643223195531722,1.9100412612700777,100.0,33,1.6615118397825641,1.1583875182517027,100.0
AME,CSV,1255,5,0.16,0.8267,-1.4934,40,7,5.387720402131237,4.985188819207764,100.0,33,3.7801928613656504,3.3283478402628046,100.0
AME,CSV,1255,10,0.16,0.8267,-1.4934,40,7,3.884468358521784,2.9067224645683534,100.0,33,5.022317518642114,4.74393192746271,100.0
AME,CSV,1255,20,0.16,0.8267,-1.4934,40,7,1.7070895155845913,-0.06427501157958859,42.857142857142854,33,5.928542825292108,5.376149630511238,87.87878787878788
AMGN,CSV,1255,1,0.0687,0.8669,-1.6651,36,4,1.4019304719219812,1.2950436740947604,100.0,32,1.4406008052689203,1.3845262500740476,100.0
AMGN,CSV,1255,5,0.0687,0.8669,-1.6651,36,4,3.3451718456787485,2.472724846801804,100.0,32,3.6424487408796553,3.2822630030959576,100.0
AMGN,CSV,1255,10,0.0687,0.8669,-1.6651,36,4,4.845496388669833,4.793217781573909,100.0,32,5.4111225084173125,5.258631655702518,100.0
AMGN,CSV,1255,20,0.0687,0.8669,-1.6651,36,4,7.053235934756126,5.277592151660697,75.0,32,6.435474604488247,6.01924014528927,81.25
AMP,CSV,1255,1,0.2159,0.8507,-1.4856,35,2,3.0491701693588515,3.0491701693588515,100.0,33,2.0799700452533645,2.0866277434528895,100.0
AMP,CSV,1255,5,0.2159,0.8507,-1.4856,35,2,7.180375232230577,7.180375232230577,100.0,33,4.597510167874377,3.584351450069876,100.0
AMP,CSV,1255,10,0.2159,0.8507,-1.4856,35,2,11.655784422151354,11.655784422151354,100.0,33,6.4167415656521,6.025544134592714,100.0
AMP,CSV,1255,20,0.2159,0.8507,-1.4856,35,2,12.115752176196569,12.115752176196569,50.0,33,7.243117006447014,5.976674806084145,84.84848484848484
AMT,CSV,1255,1,-0.0235,0.867,-1.7576,34,5,1.5564472346040379,1.3406676999614127,100.0,29,1.2959107936563523,0.9152309718816688,100.0
AMT,CSV,1255,5,-0.0235,0.867,-1.7576,34,5,2.859932417234376,3.08703495899519,100.0,29,4.575349486423492,3.8202617177055878,100.0
AMT,CSV,1255,10,-0.0235,0.867,-1.7576,34,5,4.3813614799695255,4.95605734509558,100.0,29,5.206682395202917,3.685180089241126,100.0
AMT,CSV,1255,20,-0.0235,0.867,-1.7576,34,5,8.449888879827935,8.519431784969484,100.0,29,4.983680974745005,6.559635998801425,75.86206896551724
AMZN,CSV,1255,1,0.0893,0.8211,-1.5528,36,3,4.582581963450811,1.1871828009746301,100.0,33,2.2189708340139807,1.6348913427910092,100.0
AMZN,CSV,1255,5,0.0893,0.8211,-1.5528,36,3,6.676546714182042,4.023217771967367,100.0,33,6.120799147583141,5.10321842149059,100.0
AMZN,CSV,1255,10,0.0893,0.8211,-1.5528,36,3,7.581067501412961,8.638387059685023,100.0,33,8.693244313515024,8.055732577159548,100.0
AMZN,CSV,1255,20,0.0893,0.8211,-1.5528,36,3,6.6737919716475,6.514418554454796,100.0,33,9.267996501609792,8.067063090371255,93.93939393939394
ANET,CSV,1255,1,0.1896,0.8396,-1.4896,36,4,2.5137561968820883,2.175192655626291,100.0,32,2.8992606899909177,1.9589882296332166,100.0
ANET,CSV,1255,5,0.1896,0.8396,-1.4896,36,4,8.09660005520343,8.254566513324788,100.0,32,8.223757801633917,7.181824163308614,100.0
ANET,CSV,1255,10,0.1896,0.8396,-1.4896,36,4,9.17740702402017,11.387567639005516,100.0,32,11.167760720164186,11.28793753512761,100.0
ANET,CSV,1255,20,0.1896,0.8396,-1.4896,36,4,7.709002263851458,6.41454993929662,75.0,32,14.255718115734709,15.206800185449183,87.5
AON,CSV,1255,1,0.1986,0.8608,-1.523,35,4,1.8636158047968727,1.2576482784910903,100.0,31,1.631341318339341,1.4350358192769346,100.0
AON,CSV,1255,5,0.1986,0.8608,-1.523,35,4,3.705427154541662,3.656012926028737,100.0,31,4.330103395444618,4.09315071596833,100.0
AON,CSV,1255,10,0.1986,0.8608,-1.523,35,4,4.958289165301997,5.023272149460881,100.0,31,5.049931412475422,4.457605044745919,100.0
AON,CSV,1255,20,0.1986,0.8608,-1.523,35,4,5.852280304444431,6.267756106339147,75.0,31,5.320996038430685,5.570775209583247,80.64516129032258
AOS,CSV,1255,1,-0.0013,0.8732,-1.7477,42,3,0.9673421341442343,0.8747823946682661,100.0,39,1.777582315467766,1.4570735598257547,100.0
AOS,CSV,1255,5,-0.0013,0.8732,-1.7477,42,3,2.5214787054764654,2.4507535430205625,100.0,39,4.176039669018971,3.900933488238065,100.0
AOS,CSV,1255,10,-0.0013,0.8732,-1.7477,42,3,3.720516649147001,3.0667886775346336,100.0,39,6.306902863684734,5.120432471760371,100.0
AOS,CSV,1255,20,-0.0013,0.8732,-1.7477,42,3,2.1021868167803848,2.978136691481466,66.66666666666666,39,6.342174293298055,6.572708834433244,84.61538461538461
APA,CSV,1255,1,0.132,0.8363,-1.5405,44,3,2.2333095546010315,2.033699689687729,100.0,41,3.8080864115922464,2.9402588734271258,100.0
APA,CSV,1255,5,0.132,0.8363,-1.5405,44,3,7.6867286505170584,7.079628985487749,100.0,41,9.274886422672376,7.861334858038383,100.0
APA,CSV,1255,10,0.132,0.8363,-1.5405,44,3,6.738630628530167,6.368747780924938,100.0,41,11.083299497287987,11.034155866772341,100.0
APA,CSV,1255,20,0.132,0.8363,-1.5405,44,3,-0.7698707627002014,-0.32293492676854496,33.33333333333333,41,12.132657400887066,10.718409602856173,85.36585365853658
APD,CSV,1255,1,0.0686,0.8989,-1.7293,37,3,1.3926600765128614,1.4797422430260074,100.0,34,1.9386020041376568,1.1157113872061382,100.0
APD,CSV,1255,5,0.0686,0.8989,-1.7293,37,3,4.983794979646705,3.7657398405413156,100.0,34,4.677573109403674,4.173728450955368,100.0
APD,CSV,1255,10,0.0686,0.8989,-1.7293,37,3,5.377102711379678,7.068163633911972,100.0,34,5.961540631599433,5.536432498083153,100.0
APD,CSV,1255,20,0.0686,0.8989,-1.7293,37,3,7.753408827815761,6.828664558235465,100.0,34,7.221167321335866,7.984630615830383,85.29411764705883
APH,CSV,1255,1,0.3115,0.8514,-1.3913,35,6,1.8895800039378476,1.750352375402832,100.0,29,1.9306442544862634,1.837735953379039,100.0
APH,CSV,1255,5,0.3115,0.8514,-1.3913,35,6,3.3311810824248465,3.6053946804865706,100.0,29,5.332374847638327,4.9710123914309925,100.0
APH,CSV,1255,10,0.3115,0.8514,-1.3913,35,6,2.8713503949061088,2.2761800479626135,100.0,29,7.080336821182884,6.386156186901978,100.0
APH,CSV,1255,20,0.3115,0.8514,-1.3913,35,6,2.2475220887786165,0.5769350196615858,50.0,29,5.793242813822288,4.342955738917864,82.75862068965517
APO,CSV,1255,1,0.2145,0.8749,-1.5353,34,5,4.9062892041033495,4.2171693944675495,100.0,29,2.401142571153609,2.3456526158728344,100.0
APO,CSV,1255,5,0.2145,0.8749,-1.5353,34,5,7.663729754168193,8.923041127432462,100.0,29,6.242308454218699,5.0675601357333875,100.0
APO,CSV,1255,10,0.2145,0.8749,-1.5353,34,5,9.704210739481427,9.944932408400685,100.0,29,7.4137035184147,6.961696637955683,100.0
APO,CSV,1255,20,0.2145,0.8749,-1.5353,34,5,7.781072680027918,11.969200682616458,60.0,29,8.456758279495933,8.697885627873852,79.3103448275862
APP,CSV,1252,1,0.1462,0.9153,-1.6844,33,4,4.643259445722846,4.55809333108304,100.0,29,6.073393344566171,3.6462267370131607,100.0
APP,CSV,1252,5,0.1462,0.9153,-1.6844,33,4,13.15965993416848,14.426682844955938,100.0,29,14.472412869369666,11.529084664845655,100.0
APP,CSV,1252,10,0.1462,0.9153,-1.6844,33,4,20.074854156336258,21.060179158758977,100.0,29,17.263540539612578,12.54925628206625,100.0
APP,CSV,1252,20,0.1462,0.9153,-1.6844,33,4,14.139070576895971,9.932845620233342,75.0,29,21.710405294387282,18.870377821314783,82.75862068965517
APTV,CSV,1255,1,-0.0015,0.8561,-1.7137,41,4,2.17435353118328,2.0183957504371763,100.0,37,2.2028104905186394,2.132073470367981,100.0
APTV,CSV,1255,5,-0.0015,0.8561,-1.7137,41,4,5.6924262808246695,5.640141679501883,100.0,37,5.958322978545147,5.771711654380304,100.0
APTV,CSV,1255,10,-0.0015,0.8561,-1.7137,41,4,6.579774064232481,5.4648220504845995,100.0,37,8.296210280341603,8.25177353040821,100.0
APTV,CSV,1255,20,-0.0015,0.8561,-1.7137,41,4,4.417266346057703,4.452412625827828,75.0,37,5.862424005753459,5.4085374125444385,72.97297297297297
ARE,CSV,1255,1,-0.0319,0.8971,-1.826,32,1,3.2741667548189644,3.2741667548189644,100.0,31,1.9457938977996025,1.855007382122735,100.0
ARE,CSV,1255,5,-0.0319,0.8971,-1.826,32,1,7.885113552465565,7.885113552465565,100.0,31,4.704705636849757,4.385133540633227,100.0
ARE,CSV,1255,10,-0.0319,0.8971,-1.826,32,1,8.241875810421428,8.241875810421428,100.0,31,6.0554055667029685,5.248337430003191,100.0
ARE,CSV,1255,20,-0.0319,0.8971,-1.826,32,1,8.285385867283757,8.285385867283757,100.0,31,4.7556417129322535,7.321444668925604,67.74193548387096
ARES,CSV,1255,1,0.2231,0.8397,-1.4563,39,2,1.7696753703188903,1.7696753703188903,100.0,37,2.3701976680853964,1.9134392092580714,100.0
ARES,CSV,1255,5,0.2231,0.8397,-1.4563,39,2,6.540434983671197,6.540434983671197,100.0,37,6.152955321315566,5.96542095998881,100.0
ARES,CSV,1255,10,0.2231,0.8397,-1.4563,39,2,9.581505264277874,9.581505264277874,100.0,37,8.488298168248644,7.382440586549552,100.0
ARES,CSV,1255,20,0.2231,0.8397,-1.4563,39,2,7.196708252543881,7.196708252543881,100.0,37,9.989790072993543,11.127095646322212,83.78378378378379
ATO,CSV,1255,1,0.1981,0.7881,-1.3781,40,7,1.3999705235849784,1.5375552310665854,100.0,33,1.557125787046902,1.2339945448277478,100.0
ATO,CSV,1255,5,0.1981,0.7881,-1.3781,40,7,4.684396854518899,4.753847310278181,100.0,33,3.5530711864299516,3.084043761052636,100.0
ATO,CSV,1255,10,0.1981,0.7881,-1.3781,40,7,4.939736716038331,4.958609151315342,100.0,33,4.521696372577487,3.7374550499370884,100.0
ATO,CSV,1255,20,0.1981,0.7881,-1.3781,40,7,5.511651590050815,4.7105560493529435,100.0,33,4.8367930260589045,4.6793586702775105,84.84848484848484
AVB,CSV,1255,1,0.0941,0.8014,-1.5088,35,6,2.4810950920812807,1.814776375670506,100.0,29,1.8216368994012935,1.5180842427912022,100.0
AVB,CSV,1255,5,0.0941,0.8014,-1.5088,35,6,4.58804767440951,4.208546041770397,100.0,29,3.879279024857103,3.512322821321724,100.0
AVB,CSV,1255,10,0.0941,0.8014,-1.5088,35,6,5.427295780347641,5.96718177273201,100.0,29,4.784626298529474,3.9226245181772077,100.0
